Age,Attrition,Department,JobRole,Gender,MaritalStatus,MonthlyIncome,YearsAtCompany,EducationField,BusinessTravel
41,1,2,7,0,2,5993,6,1,2
49,0,1,6,1,1,5130,10,1,1
37,1,1,2,1,2,2090,0,4,2
33,0,1,6,0,1,2909,8,1,1
27,0,1,2,1,1,3468,2,3,2
32,0,1,2,1,2,3068,7,1,1
59,0,1,2,0,1,2670,1,3,2
30,0,1,2,1,0,2693,1,1,2
38,0,1,4,1,2,9526,9,1,1
36,0,1,0,1,1,5237,7,3,2
35,0,1,2,1,1,2426,5,3,2
29,0,1,2,0,2,4193,9,1,2
31,0,1,6,1,0,2911,5,1,2
34,0,1,2,1,0,2661,2,3,2
28,1,1,2,1,2,2028,4,1,2
29,0,1,4,0,0,9980,10,1,2
32,0,1,6,1,0,3298,6,1,2
22,0,1,2,1,0,2935,1,3,0
53,0,2,3,0,1,15427,25,1,2
38,0,1,6,1,2,3944,3,1,2
24,0,1,4,0,0,4011,4,4,0
36,1,2,8,1,2,3407,5,1,2
34,0,1,5,0,2,11994,12,1,2
21,0,1,6,1,2,1232,0,1,2
34,1,1,6,1,2,2960,4,3,2
53,0,1,3,0,0,19094,14,4,2
32,1,1,6,0,2,3919,10,1,1
42,0,2,7,1,1,6825,9,2,2
44,0,1,0,0,1,10248,22,3,2
46,0,2,3,0,2,18947,2,2,2
33,0,1,2,1,2,2496,1,3,2
44,0,1,0,1,1,6465,4,4,2
30,0,1,2,1,2,2206,10,3,2
39,1,2,8,1,1,2086,1,5,2
24,1,1,6,1,1,2293,2,3,2
43,0,1,6,0,0,2645,5,3,2
50,1,2,8,1,1,2683,3,2,2
35,0,2,8,0,1,2014,2,2,2
36,0,1,6,0,1,3419,1,1,2
33,0,2,7,0,1,5376,5,1,1
35,0,1,2,1,0,1951,1,4,2
27,0,1,2,0,0,2341,1,1,2
26,1,1,2,1,2,2293,1,1,2
27,0,2,7,1,2,8726,9,1,1
30,0,1,2,0,2,4011,12,3,1
41,1,1,5,0,1,19545,22,5,2
34,0,2,7,1,2,4568,9,2,0
37,0,1,6,1,1,3022,1,1,2
46,0,2,7,1,2,5772,9,2,1
35,0,1,2,1,1,2269,1,1,2
48,1,1,2,1,2,5381,1,1,2
28,1,1,2,1,2,3441,2,5,2
44,0,2,7,0,0,5454,4,2,2
35,0,1,0,1,1,9884,4,3,0
26,0,2,7,0,1,4157,2,2,2
33,0,1,5,0,2,13458,15,1,1
35,0,2,7,1,1,9069,9,1,1
35,0,1,2,0,1,4014,2,3,2
31,0,1,2,1,0,5915,7,1,2
37,0,1,4,1,0,5993,7,1,2
32,0,1,4,1,1,6162,9,3,2
38,0,1,2,0,2,2406,10,1,1
50,0,1,5,0,0,18740,27,3,2
59,0,2,7,0,2,7637,21,1,2
36,0,1,0,0,0,10096,17,5,2
55,0,1,3,0,0,14756,5,3,2
36,0,1,4,1,2,6499,6,1,1
45,0,1,6,1,0,9724,1,1,2
35,0,1,6,1,1,2194,3,3,1
36,1,1,6,1,1,3388,1,3,2
59,0,2,7,0,2,5473,4,1,1
29,0,1,6,1,1,2703,5,1,2
31,0,1,6,1,2,2501,1,3,2
32,0,1,6,1,1,6220,10,1,2
36,0,1,2,0,1,3038,1,1,2
31,0,1,4,0,2,4424,11,1,2
35,0,2,7,1,2,4312,15,2,2
45,0,1,5,1,1,13245,0,4,2
37,0,1,5,1,2,13664,5,3,2
46,0,0,1,1,0,5021,4,3,2
30,0,1,2,1,1,5126,10,1,2
35,0,1,6,1,2,2859,6,3,2
55,0,2,7,1,1,10239,1,1,2
38,0,1,6,0,0,5329,13,3,0
34,0,1,4,1,1,4325,5,3,2
56,0,1,4,1,2,7260,6,1,2
23,0,2,8,1,0,2322,0,5,2
51,0,1,2,1,1,2075,4,1,2
30,0,1,0,1,1,4152,11,1,2
46,1,2,7,1,2,9619,9,3,2
40,0,1,0,1,1,13503,22,1,1
51,0,2,7,1,2,5441,10,2,2
30,0,2,7,0,0,5209,11,3,2
46,0,1,0,1,1,10673,10,3,1
32,0,2,7,1,2,5010,11,3,2
54,0,1,5,0,1,13549,4,5,2
24,0,2,7,0,1,4999,3,4,2
28,0,2,7,1,1,4221,5,3,0
58,0,2,7,1,2,13872,37,3,2
44,0,1,2,1,1,2042,3,3,0
37,1,0,1,1,0,2073,3,0,2
32,0,1,6,1,2,2956,1,1,2
20,1,1,2,0,2,2926,1,1,1
34,0,1,6,0,2,4809,16,4,2
37,0,1,0,1,0,5163,1,1,0
59,0,0,3,0,1,18844,3,0,0
50,0,1,5,0,1,18172,8,1,1
25,1,2,7,1,2,5744,6,2,2
25,0,1,6,1,1,2889,2,3,2
22,0,1,2,0,2,2871,0,3,2
51,0,1,0,0,2,7484,13,3,1
34,1,1,2,1,2,6074,9,1,1
54,0,0,3,0,2,17328,5,0,0
24,0,1,2,1,1,2774,5,1,2
34,0,1,6,0,0,4505,1,1,2
37,0,2,7,1,2,7428,5,1,2
34,0,1,3,0,2,11631,11,3,2
36,0,2,7,0,1,9738,9,5,1
36,0,1,2,0,0,2835,1,1,2
43,0,2,3,1,1,16959,25,1,1
30,0,1,6,1,0,2613,10,1,1
33,0,2,7,1,1,6146,7,2,0
56,1,1,6,0,1,4963,5,1,2
51,0,1,5,1,2,19537,20,1,2
31,1,2,7,1,1,6172,7,1,2
26,0,1,6,0,1,2368,5,4,2
58,1,1,0,0,1,10312,40,3,2
19,1,2,8,1,2,1675,0,2,2
22,0,1,2,1,1,2523,2,5,2
49,0,1,4,0,1,6567,15,3,2
43,0,1,6,0,2,4739,3,3,1
50,0,2,7,0,2,9208,2,2,1
